info.brochures.destination,info.brochures.hotel,info.brochures.tour.operator,info.travel.agent,info.tourist.centre,info.advertising.newspapers,info.travel.guides,info.friends.relatives,info.work.colleagues,info.radio,info.TV,info.internet,info.exhibitions,info.slide.nights,book.internet,book.phone,book.at.destination,book.travel.agent,book.other,book.someone.else,spendpppd,TV.channel
0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,37.5,Channel 10 (National)
0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,166.666666666667,Regional programs on national channels
1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,15,Pay TV
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,111.111111111111,Channel 9 (National)
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150,Regional programs on national channels
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,Channel 7 (National)
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,62.5,Channel 10 (National)
1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,71.4285714285714,Pay TV
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,12.5,Channel 9 (National)
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,4.59183673469388,Pay TV
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2.5,Channel 9 (National)
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,37.5,Channel 9 (National)
1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,33.3333333333333,Channel 7 (National)
1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,100,Channel 7 (National)
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,30,NA
1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,16.6666666666667,Channel 9 (National)
1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,150,Pay TV
0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,25,Other (please specify) 
1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,142.857142857143,Channel 10 (National)
0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,15.3333333333333,Channel 7 (National)
0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,83.3333333333333,Channel 9 (National)
0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4.76190476190476,Channel 7 (National)
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,83.3333333333333,Channel 10 (National)
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,37.5,Channel 7 (National)
1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,6.25,Channel 10 (National)
0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,150,Pay TV
1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,100,Pay TV
1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,125,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,50,Channel 7 (National)
0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,375,Channel 10 (National)
1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,50,Channel 9 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,277.777777777778,Channel 10 (National)
1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,150,Channel 7 (National)
1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,180,ABC (National)
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,41.6666666666667,Channel 10 (National)
1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,57.1428571428571,Channel 7 (National)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8333333333333,Channel 10 (National)
0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,62.5,Pay TV
0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,83.3333333333333,Regional programs on national channels
0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,100,Channel 9 (National)
0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,12.5,Channel 10 (National)
0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,16.6666666666667,Channel 10 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,88.8888888888889,Channel 9 (National)
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,14.2857142857143,Channel 7 (National)
1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,8.92857142857143,Pay TV
1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,71.4285714285714,Channel 7 (National)
1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,NA,ABC (National)
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,55,ABC (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,62.5,Channel 10 (National)
1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,71.4285714285714,Regional programs on national channels
0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,50,Channel 7 (National)
1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,25,Channel 9 (National)
1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,112.5,ABC (National)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5555555555556,Channel 7 (National)
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,Pay TV
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,30,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2.04081632653061,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,166.666666666667,Channel 9 (National)
1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,44.6428571428571,Channel 7 (National)
1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,55.5555555555556,Pay TV
0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,154.583333333333,ABC (National)
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,Channel 7 (National)
0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,66.6666666666667,Other (please specify) 
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,46.875,Pay TV
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,125,Pay TV
1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,40,Channel 7 (National)
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,81.25,ABC (National)
1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,10,Channel 7 (National)
0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,60,ABC (National)
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,71.4285714285714,Channel 9 (National)
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,77.7777777777778,Channel 9 (National)
1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,74.0740740740741,Pay TV
0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,7.14285714285714,Pay TV
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,138.888888888889,ABC (National)
1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,25,ABC (National)
0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,22.2222222222222,Channel 7 (National)
1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,55.5555555555556,SBS (National)
0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3.57142857142857,Channel 7 (National)
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,33.3333333333333,Channel 7 (National)
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7.14285714285714,Regional programs on national channels
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,75,Channel 10 (National)
1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,62.5,Channel 10 (National)
1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,25,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,75,Regional programs on national channels
1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,100,Channel 9 (National)
0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,166.666666666667,ABC (National)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,NA
1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16.25,ABC (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.57142857142857,Channel 10 (National)
1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,100,Pay TV
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,50,Pay TV
1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,116.666666666667,Channel 10 (National)
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,3.57142857142857,Channel 7 (National)
0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,83.3333333333333,ABC (National)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.7142857142857,ABC (National)
1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,35.7142857142857,Pay TV
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,100,Channel 7 (National)
1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,25,ABC (National)
0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,62.5,Regional programs on national channels
1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,147.058823529412,Channel 9 (National)
1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,50,Channel 7 (National)
0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,250,Channel 10 (National)
1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,62.5,Channel 7 (National)
0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,41.6666666666667,ABC (National)
1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,50,Pay TV
1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,16.6666666666667,Channel 7 (National)
1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,62.5,Channel 9 (National)
1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,100,Pay TV
1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,50,ABC (National)
1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,85.7142857142857,Channel 7 (National)
1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,277.777777777778,Channel 7 (National)
1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,333.333333333333,Other (please specify) 
1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,62.5,Channel 9 (National)
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,41.6666666666667,Channel 7 (National)
0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,125,Channel 10 (National)
1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,50,Channel 9 (National)
1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,75,Channel 10 (National)
1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,16.6666666666667,Channel 9 (National)
0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,12.5,Pay TV
0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,178.571428571429,Channel 9 (National)
1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,11.1111111111111,Channel 10 (National)
0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,30,Channel 10 (National)
1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,190.47619047619,Pay TV
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,75,Channel 9 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,42.8571428571429,Channel 10 (National)
1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,31.25,Channel 7 (National)
1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,32,Channel 9 (National)
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0666666666666667,Channel 7 (National)
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,55.5555555555556,SBS (National)
1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,31.25,Channel 7 (National)
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,75,ABC (National)
1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,35.7142857142857,Channel 7 (National)
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,75,Channel 7 (National)
1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,44.4444444444444,ABC (National)
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,10.4166666666667,Pay TV
0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,8.33333333333333,Channel 9 (National)
1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,30,Channel 9 (National)
1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,33.3333333333333,Channel 7 (National)
1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,60,Channel 10 (National)
1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,50,Channel 9 (National)
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,5.55555555555556,Channel 10 (National)
1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,125,ABC (National)
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,166.666666666667,ABC (National)
1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,7.14285714285714,Pay TV
0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,15,Channel 7 (National)
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,71.4285714285714,Channel 7 (National)
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,75,Other (please specify) 
1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,62.5,Channel 10 (National)
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,83.3333333333333,Channel 9 (National)
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,150,Channel 9 (National)
1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,166.666666666667,Channel 7 (National)
0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,125,ABC (National)
0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,12.5,Channel 7 (National)
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,34.375,Regional programs on national channels
0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,13.8888888888889,Channel 7 (National)
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,366.666666666667,Regional programs on national channels
1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0.6,Channel 10 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,35.7142857142857,Pay TV
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,200,NA
1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,11.4285714285714,Pay TV
1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,11.1111111111111,Channel 7 (National)
1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,266.666666666667,Pay TV
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,16.6666666666667,Regional programs on national channels
1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,125,ABC (National)
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,Pay TV
1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,10,Channel 9 (National)
1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,11.4285714285714,Channel 9 (National)
0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,75,Regional programs on national channels
0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,23.8095238095238,Channel 10 (National)
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,55.5555555555556,ABC (National)
1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,62.5,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,55.5555555555556,Channel 9 (National)
1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,90,SBS (National)
1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,30.6122448979592,Channel 7 (National)
0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,41.6666666666667,Channel 10 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,7.5,Channel 7 (National)
1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,Channel 7 (National)
0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,625,SBS (National)
0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,41.6666666666667,ABC (National)
0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,20,Channel 7 (National)
0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,100,Pay TV
1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,30,Channel 7 (National)
1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,62.5,ABC (National)
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,41.6666666666667,Channel 7 (National)
1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,31.25,Pay TV
1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,12.5,Pay TV
1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,190.47619047619,ABC (National)
0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,66.6666666666667,ABC (National)
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,6.66666666666667,Pay TV
1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,333.333333333333,Pay TV
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,31.25,ABC (National)
0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,250,Channel 7 (National)
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,5.35714285714286,Regional programs on national channels
0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,66.6666666666667,Pay TV
1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,41.6666666666667,Channel 10 (National)
0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,87.5,Channel 9 (National)
1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,5,Channel 10 (National)
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,166.666666666667,Channel 7 (National)
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,5.35714285714286,Channel 10 (National)
1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,5,ABC (National)
1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,7.14285714285714,Channel 10 (National)
1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10,ABC (National)
1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,40,ABC (National)
1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,30,Channel 9 (National)
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,125,Pay TV
0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,33.3333333333333,Channel 7 (National)
0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2.5,ABC (National)
0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,140,Channel 7 (National)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.6363636363636,Regional programs on national channels
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,58.3333333333333,Channel 10 (National)
0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,66.6666666666667,Pay TV
1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,50,Channel 9 (National)
1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,3.7037037037037,ABC (National)
1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,53.5714285714286,Channel 7 (National)
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41.6666666666667,Pay TV
1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,22.7272727272727,Channel 7 (National)
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,137.5,Channel 9 (National)
1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,50,Pay TV
0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,13.3333333333333,Other (please specify) 
1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,9.52380952380952,ABC (National)
1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,133.333333333333,ABC (National)
0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,142.857142857143,Pay TV
1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,100,Channel 7 (National)
1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,40,Channel 10 (National)
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,21.4285714285714,Channel 10 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,50,Other (please specify) 
0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,125,Pay TV
1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,214.285714285714,ABC (National)
1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,142.857142857143,Channel 7 (National)
